,via_to,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,avg,sum
0,TA104TA257,137.64000000000001,93.24000000000001,31.080000000000002,8.88,22.200000000000003,17.76,39.96,337.44000000000005,803.6400000000001,652.6800000000001,661.5600000000001,608.2800000000001,430.68000000000006,745.9200000000001,719.2800000000001,1389.72,1625.0400000000002,1141.0800000000002,1167.72,959.0400000000001,923.5200000000001,470.64000000000004,372.96000000000004,155.4,563.1400000000001,13515.360000000002
1,TA105TA26,230.88000000000002,102.12,53.28,8.88,44.400000000000006,66.60000000000001,239.76000000000002,412.92,568.32,617.1600000000001,594.96,568.32,555.0,612.72,483.96000000000004,745.9200000000001,688.2,652.6800000000001,599.4000000000001,555.0,479.52000000000004,372.96000000000004,306.36,284.16,410.145,9843.48
2,TA105TA83,333.00000000000006,204.24,53.28,48.84,71.04,226.44000000000003,683.7600000000001,963.4800000000001,1127.76,994.5600000000001,1123.3200000000002,1194.3600000000001,1189.92,1016.7600000000001,1074.48,1056.72,1260.96,1070.0400000000002,1070.0400000000002,1078.92,1038.96,750.36,661.5600000000001,515.0400000000001,783.6600000000003,18807.840000000007
3,TA106TA28,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.44,0.0,4.44,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.44,0.0,0.555,13.32
4,TA109TA111,84.36000000000001,22.200000000000003,8.88,8.88,0.0,22.200000000000003,93.24000000000001,284.16,488.40000000000003,532.8000000000001,417.36,417.36,461.76000000000005,350.76000000000005,279.72,177.60000000000002,341.88000000000005,301.92,248.64000000000001,284.16,257.52000000000004,190.92000000000002,168.72000000000003,142.08,232.73000000000005,5585.520000000001
5,TA109TA136,0.0,0.0,0.0,0.0,0.0,0.0,8.88,4.44,8.88,71.04,71.04,4.44,88.80000000000001,208.68,257.52000000000004,230.88000000000002,217.56000000000003,279.72,257.52000000000004,71.04,39.96,4.44,13.32,4.44,76.775,1842.6000000000001
6,TA111TA134,8.88,0.0,4.44,0.0,0.0,0.0,4.44,26.64,48.84,35.52,57.720000000000006,35.52,26.64,26.64,22.200000000000003,13.32,4.44,35.52,13.32,17.76,8.88,17.76,8.88,0.0,17.389999999999997,417.35999999999996
7,TA112TA231,0.0,0.0,0.0,0.0,0.0,0.0,8.88,35.52,53.28,62.160000000000004,26.64,62.160000000000004,35.52,26.64,17.76,17.76,53.28,26.64,8.88,35.52,26.64,26.64,8.88,26.64,23.31,559.4399999999999
8,TA112TA38,8.88,0.0,0.0,0.0,0.0,0.0,8.88,62.160000000000004,390.72,97.68,115.44000000000001,79.92,44.400000000000006,53.28,35.52,44.400000000000006,159.84,115.44000000000001,150.96,79.92,79.92,44.400000000000006,35.52,53.28,69.19000000000001,1660.5600000000002
9,TA112TA79,17.76,0.0,0.0,0.0,8.88,0.0,8.88,248.64000000000001,657.12,328.56,213.12,372.96000000000004,230.88000000000002,213.12,444.00000000000006,310.8,444.00000000000006,142.08,71.04,150.96,35.52,35.52,17.76,35.52,166.13000000000002,3987.1200000000003
10,TA122TA13,0.0,0.0,4.44,0.0,0.0,0.0,4.44,8.88,39.96,17.76,8.88,26.64,4.44,13.32,22.200000000000003,35.52,44.400000000000006,31.080000000000002,26.64,75.48,57.720000000000006,66.60000000000001,22.200000000000003,26.64,22.385,537.24
11,TA122TA251,883.5600000000001,936.84,634.9200000000001,674.8800000000001,954.6000000000001,1092.24,870.2400000000001,1114.44,1189.92,1216.5600000000002,1269.8400000000001,1327.5600000000002,1336.44,1229.88,1172.16,1065.6000000000001,1247.64,1309.8000000000002,959.0400000000001,1056.72,1394.16,1229.88,1078.92,901.32,1089.465,26147.159999999996
12,TA124TA151,44.400000000000006,13.32,8.88,8.88,17.76,31.080000000000002,111.00000000000001,621.6,714.84,697.08,634.9200000000001,444.00000000000006,239.76000000000002,75.48,435.12000000000006,572.7600000000001,586.08,648.24,430.68000000000006,586.08,421.8,204.24,146.52,84.36000000000001,324.12000000000006,7778.880000000001
13,TA124TA185,4.44,0.0,0.0,0.0,0.0,4.44,13.32,26.64,4.44,8.88,8.88,17.76,8.88,0.0,17.76,17.76,13.32,31.080000000000002,4.44,4.44,17.76,8.88,13.32,4.44,9.62,230.88
14,TA132TA134,8.88,4.44,0.0,0.0,0.0,0.0,4.44,17.76,93.24000000000001,39.96,22.200000000000003,39.96,26.64,44.400000000000006,13.32,62.160000000000004,62.160000000000004,62.160000000000004,48.84,39.96,39.96,53.28,35.52,13.32,30.52500000000001,732.6000000000003
15,TA133TA137,0.0,4.44,0.0,0.0,0.0,4.44,0.0,8.88,26.64,17.76,26.64,13.32,26.64,22.200000000000003,22.200000000000003,48.84,66.60000000000001,17.76,26.64,22.200000000000003,8.88,13.32,8.88,4.44,16.279999999999998,390.7199999999999
16,TA133TA79,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.44,0.0,8.88,4.44,4.44,4.44,17.76,8.88,4.44,8.88,0.0,8.88,8.88,4.44,4.44,0.0,0.0,3.885,93.24
17,TA134TA135,17.76,4.44,0.0,0.0,0.0,4.44,31.080000000000002,93.24000000000001,230.88000000000002,439.56000000000006,244.20000000000002,244.20000000000002,368.52000000000004,417.36,381.84000000000003,879.1200000000001,825.84,297.48,142.08,119.88000000000001,146.52,39.96,57.720000000000006,39.96,209.42000000000007,5026.080000000002
18,TA135TA146,22.200000000000003,17.76,4.44,4.44,13.32,8.88,48.84,381.84000000000003,661.5600000000001,594.96,1025.64,1078.92,768.1200000000001,830.2800000000001,532.8000000000001,528.36,883.5600000000001,883.5600000000001,794.7600000000001,905.7600000000001,666.0000000000001,217.56000000000003,261.96000000000004,137.64000000000001,469.715,11273.16
19,TA135TA270,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.44,0.0,0.0,4.44,4.44,4.44,0.0,4.44,17.76,17.76,13.32,8.88,8.88,4.44,4.44,13.32,0.0,4.625,111
20,TA136TA146,57.720000000000006,4.44,13.32,0.0,0.0,0.0,84.36000000000001,275.28000000000003,444.00000000000006,435.12000000000006,364.08000000000004,470.64000000000004,341.88000000000005,239.76000000000002,328.56,355.20000000000005,297.48,381.84000000000003,488.40000000000003,386.28000000000003,279.72,204.24,155.4,88.80000000000001,237.35500000000002,5696.52
21,TA137TA143,57.720000000000006,4.44,0.0,4.44,0.0,4.44,48.84,350.76000000000005,617.1600000000001,759.2400000000001,759.2400000000001,741.48,754.8000000000001,732.6,532.8000000000001,328.56,541.6800000000001,412.92,324.12,381.84000000000003,483.96000000000004,328.56,75.48,39.96,345.21000000000004,8285.04
22,TA137TA78,8.88,0.0,0.0,0.0,0.0,17.76,17.76,97.68,222.00000000000003,159.84,226.44000000000003,142.08,124.32000000000001,279.72,159.84,164.28,222.00000000000003,182.04000000000002,195.36,164.28,93.24000000000001,8.88,31.080000000000002,17.76,105.63500000000003,2535.2400000000007
23,TA13TA14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.44,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.44,4.44,0.555,13.32
24,TA13TA2,66.60000000000001,62.160000000000004,39.96,39.96,35.52,22.200000000000003,39.96,155.4,239.76000000000002,213.12,186.48000000000002,204.24,190.92000000000002,230.88000000000002,284.16,182.04000000000002,399.6,226.44000000000003,297.48,217.56000000000003,213.12,182.04000000000002,142.08,106.56,165.76,3978.24
25,TA13TA39,66.60000000000001,53.28,4.44,4.44,26.64,48.84,57.720000000000006,230.88000000000002,310.8,315.24,253.08,337.44000000000005,381.84000000000003,328.56,457.32000000000005,337.44000000000005,372.96000000000004,337.44000000000005,368.52000000000004,404.04,457.32000000000005,319.68,439.56000000000006,346.32000000000005,260.85,6260.400000000001
26,TA143TA144,8.88,0.0,0.0,0.0,0.0,4.44,13.32,66.60000000000001,119.88000000000001,84.36000000000001,66.60000000000001,75.48,31.080000000000002,62.160000000000004,44.400000000000006,84.36000000000001,133.20000000000002,79.92,93.24000000000001,53.28,44.400000000000006,17.76,13.32,4.44,45.88,1101.1200000000001
27,TA144TA152,4.44,0.0,0.0,4.44,8.88,0.0,0.0,71.04,62.160000000000004,44.400000000000006,35.52,35.52,31.080000000000002,53.28,35.52,53.28,62.160000000000004,13.32,22.200000000000003,35.52,31.080000000000002,39.96,39.96,8.88,28.860000000000003,692.6400000000001
28,TA146TA147,0.0,0.0,4.44,0.0,0.0,13.32,8.88,128.76000000000002,301.92,315.24,506.16,146.52,39.96,35.52,248.64000000000001,421.8,581.6400000000001,497.28000000000003,475.08000000000004,497.28000000000003,346.32000000000005,62.160000000000004,26.64,13.32,194.62,4670.88
29,TA146TA184,248.64000000000001,128.76000000000002,111.00000000000001,71.04,128.76000000000002,248.64000000000001,692.6400000000001,963.4800000000001,879.1200000000001,865.8000000000001,976.8000000000001,888.0000000000001,1078.92,945.72,1132.2,1247.64,1185.48,1096.68,1194.3600000000001,1074.48,1221.0,905.7600000000001,714.84,586.08,774.41,18585.84
30,TA147TA270,26.64,8.88,0.0,8.88,8.88,8.88,39.96,297.48,723.72,599.4000000000001,235.32000000000002,208.68,412.92,364.08000000000004,515.0400000000001,772.5600000000001,679.32,421.8,350.76000000000005,350.76000000000005,239.76000000000002,186.48000000000002,66.60000000000001,44.400000000000006,273.8,6571.200000000001
31,TA147TA277,4.44,0.0,0.0,0.0,0.0,0.0,4.44,75.48,111.00000000000001,124.32000000000001,115.44000000000001,115.44000000000001,106.56,133.20000000000002,115.44000000000001,244.20000000000002,226.44000000000003,244.20000000000002,208.68,133.20000000000002,39.96,57.720000000000006,39.96,26.64,88.61500000000001,2126.76
32,TA14TA15,0.0,4.44,0.0,0.0,0.0,0.0,0.0,8.88,0.0,4.44,0.0,13.32,13.32,8.88,4.44,0.0,13.32,13.32,0.0,0.0,0.0,0.0,13.32,13.32,4.625,111
33,TA14TA231,0.0,8.88,0.0,0.0,0.0,0.0,8.88,17.76,79.92,8.88,26.64,8.88,8.88,0.0,17.76,0.0,53.28,26.64,44.400000000000006,17.76,17.76,8.88,17.76,8.88,15.909999999999997,381.8399999999999
34,TA152TA77,4.44,0.0,0.0,0.0,0.0,0.0,4.44,0.0,0.0,4.44,0.0,0.0,0.0,4.44,0.0,0.0,0.0,0.0,4.44,0.0,0.0,4.44,0.0,0.0,1.11,26.640000000000004
35,TA15TA16,26.64,4.44,8.88,0.0,0.0,4.44,0.0,31.080000000000002,133.20000000000002,111.00000000000001,93.24000000000001,97.68,97.68,84.36000000000001,84.36000000000001,57.720000000000006,35.52,102.12,71.04,142.08,75.48,88.80000000000001,44.400000000000006,31.080000000000002,59.385,1425.24
36,TA15TA37,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.44,0.0,0.0,0.0,0.0,4.44,0.0,4.44,4.44,0.0,4.44,13.32,4.44,4.44,0.0,0.0,0.0,1.8499999999999999,44.4
37,TA15TA4,39.96,57.720000000000006,26.64,22.200000000000003,13.32,22.200000000000003,44.400000000000006,146.52,173.16000000000003,324.12,186.48000000000002,230.88000000000002,244.20000000000002,266.40000000000003,239.76000000000002,235.32000000000002,190.92000000000002,155.4,301.92,226.44000000000003,253.08,288.6,208.68,79.92,165.76000000000002,3978.2400000000007
38,TA16TA22,17.76,0.0,0.0,0.0,0.0,0.0,22.200000000000003,71.04,84.36000000000001,71.04,66.60000000000001,124.32000000000001,84.36000000000001,88.80000000000001,93.24000000000001,71.04,71.04,115.44000000000001,84.36000000000001,88.80000000000001,53.28,71.04,35.52,26.64,55.87,1340.8799999999999
39,TA16TA5,31.080000000000002,8.88,4.44,4.44,4.44,8.88,17.76,71.04,62.160000000000004,106.56,84.36000000000001,155.4,79.92,137.64000000000001,173.16000000000003,93.24000000000001,155.4,142.08,128.76000000000002,150.96,84.36000000000001,84.36000000000001,79.92,31.080000000000002,79.18,1900.3200000000002
40,TA179TA277,0.0,0.0,0.0,4.44,0.0,4.44,4.44,8.88,22.200000000000003,8.88,17.76,13.32,44.400000000000006,31.080000000000002,57.720000000000006,48.84,150.96,53.28,8.88,13.32,26.64,4.44,22.200000000000003,0.0,22.755000000000006,546.1200000000001
41,TA183TA80,4.44,0.0,0.0,0.0,0.0,4.44,17.76,35.52,275.28000000000003,53.28,199.8,48.84,88.80000000000001,66.60000000000001,71.04,257.52000000000004,257.52000000000004,253.08,71.04,150.96,84.36000000000001,57.720000000000006,31.080000000000002,31.080000000000002,85.84000000000002,2060.1600000000003
42,TA183TA81,719.2800000000001,475.08000000000004,204.24,124.32000000000001,168.72000000000003,279.72,830.2800000000001,1784.88,2415.36,2393.1600000000003,2437.5600000000004,2117.88,2362.0800000000004,2419.8,2402.0400000000004,2668.44,2566.32,2766.1200000000003,2548.5600000000004,2228.88,2326.5600000000004,1682.7600000000002,1460.7600000000002,1123.3200000000002,1687.755,40506.12
43,TA185TA76,35.52,0.0,8.88,4.44,4.44,8.88,31.080000000000002,235.32000000000002,386.28000000000003,368.52000000000004,248.64000000000001,146.52,115.44000000000001,124.32000000000001,128.76000000000002,270.84000000000003,355.20000000000005,182.04000000000002,244.20000000000002,182.04000000000002,164.28,71.04,71.04,48.84,143.19,3436.56
44,TA18TA8,301.92,195.36,115.44000000000001,53.28,17.76,133.20000000000002,230.88000000000002,248.64000000000001,799.2,657.12,559.44,586.08,666.0000000000001,630.48,648.24,772.5600000000001,630.48,594.96,683.7600000000001,799.2,612.72,568.32,497.28000000000003,355.20000000000005,473.2300000000001,11357.520000000002
45,TA193TA36,22.200000000000003,8.88,0.0,0.0,8.88,8.88,8.88,35.52,652.6800000000001,781.44,377.40000000000003,97.68,71.04,39.96,39.96,550.5600000000001,772.5600000000001,204.24,412.92,812.5200000000001,79.92,39.96,31.080000000000002,26.64,211.82500000000005,5083.800000000001
46,TA193TA6,26.64,8.88,0.0,0.0,0.0,0.0,8.88,79.92,97.68,79.92,133.20000000000002,319.68,222.00000000000003,79.92,97.68,115.44000000000001,230.88000000000002,310.8,150.96,186.48000000000002,115.44000000000001,71.04,17.76,26.64,99.16000000000001,2379.84
47,TA21TA22,53.28,8.88,0.0,0.0,0.0,17.76,17.76,150.96,310.8,133.20000000000002,124.32000000000001,195.36,177.60000000000002,177.60000000000002,293.04,328.56,390.72,266.40000000000003,239.76000000000002,310.8,168.72000000000003,230.88000000000002,186.48000000000002,239.76000000000002,167.61000000000004,4022.640000000001
48,TA22TA23,22.200000000000003,0.0,4.44,0.0,8.88,8.88,35.52,142.08,177.60000000000002,190.92000000000002,222.00000000000003,253.08,186.48000000000002,297.48,257.52000000000004,142.08,177.60000000000002,213.12,124.32000000000001,119.88000000000001,164.28,84.36000000000001,57.720000000000006,66.60000000000001,123.21,2957.04
49,TA231TA39,0.0,0.0,0.0,0.0,0.0,0.0,17.76,8.88,71.04,26.64,53.28,26.64,26.64,17.76,62.160000000000004,79.92,53.28,71.04,17.76,44.400000000000006,17.76,8.88,44.400000000000006,8.88,27.379999999999995,657.1199999999999
50,TA23TA24,53.28,71.04,17.76,0.0,0.0,8.88,71.04,142.08,337.44000000000005,301.92,408.48,301.92,257.52000000000004,328.56,301.92,337.44000000000005,426.24,337.44000000000005,417.36,417.36,364.08000000000004,186.48000000000002,222.00000000000003,195.36,229.39999999999998,5505.599999999999
51,TA23TA26,226.44000000000003,124.32000000000001,13.32,26.64,39.96,79.92,199.8,590.5200000000001,834.72,599.4000000000001,812.5200000000001,697.08,777.0000000000001,808.08,666.0000000000001,732.6,781.44,683.7600000000001,688.2,572.7600000000001,497.28000000000003,426.24,435.12000000000006,412.92,488.5850000000001,11726.040000000003
52,TA24TA25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.88,8.88,8.88,8.88,8.88,26.64,8.88,8.88,17.76,8.88,8.88,0.0,0.0,26.64,8.88,0.0,8.88,7.0299999999999985,168.71999999999997
53,TA262TA39,4.44,0.0,0.0,0.0,0.0,0.0,0.0,31.080000000000002,39.96,26.64,8.88,13.32,22.200000000000003,17.76,22.200000000000003,4.44,17.76,26.64,22.200000000000003,22.200000000000003,44.400000000000006,4.44,35.52,13.32,15.724999999999994,377.39999999999986
54,TA262TA78,328.56,328.56,222.00000000000003,222.00000000000003,275.28000000000003,328.56,626.0400000000001,1198.8000000000002,1527.3600000000001,1420.8000000000002,1323.1200000000001,1460.7600000000002,1460.7600000000002,1469.64,1327.5600000000002,1269.8400000000001,1256.5200000000002,1189.92,1221.0,1096.68,1012.32,874.6800000000001,852.48,750.36,960.1500000000001,23043.600000000002
55,TA26TA81,799.2,581.6400000000001,390.72,386.28000000000003,461.76000000000005,586.08,1087.8000000000002,1815.9600000000003,2015.7600000000002,1820.4,1838.16,1815.9600000000003,1669.44,1962.4800000000002,1731.6000000000001,1838.16,1687.2,2060.1600000000003,1944.7200000000003,1869.2400000000002,1629.4800000000002,1385.2800000000002,1274.2800000000002,990.1200000000001,1401.7450000000001,33641.880000000005
56,TA28TA85,13.32,13.32,0.0,0.0,0.0,8.88,8.88,88.80000000000001,124.32000000000001,79.92,111.00000000000001,128.76000000000002,199.8,213.12,111.00000000000001,128.76000000000002,190.92000000000002,226.44000000000003,164.28,306.36,186.48000000000002,97.68,39.96,26.64,102.86,2468.64
57,TA2TA257,377.40000000000003,297.48,253.08,230.88000000000002,337.44000000000005,372.96000000000004,346.32000000000005,439.56000000000006,657.12,643.8000000000001,879.1200000000001,830.2800000000001,745.9200000000001,688.2,936.84,856.9200000000001,839.1600000000001,688.2,852.48,679.32,1030.0800000000002,759.2400000000001,785.8800000000001,719.2800000000001,635.2900000000001,15246.960000000001
58,TA36TA4,44.400000000000006,26.64,17.76,8.88,17.76,17.76,133.20000000000002,328.56,523.9200000000001,541.6800000000001,390.72,399.6,372.96000000000004,452.88000000000005,372.96000000000004,426.24,293.04,355.20000000000005,745.9200000000001,426.24,497.28000000000003,230.88000000000002,213.12,168.72000000000003,291.93,7006.32
59,TA37TA38,253.08,275.28000000000003,253.08,173.16000000000003,208.68,182.04000000000002,497.28000000000003,883.5600000000001,1087.8000000000002,967.9200000000001,1034.52,1083.3600000000001,1016.7600000000001,914.6400000000001,865.8000000000001,936.84,936.84,1061.16,1061.16,1065.6000000000001,963.4800000000001,923.5200000000001,732.6,634.9200000000001,750.5450000000001,18013.08
60,TA38TA80,4.44,4.44,4.44,8.88,0.0,4.44,13.32,57.720000000000006,146.52,195.36,111.00000000000001,66.60000000000001,222.00000000000003,115.44000000000001,62.160000000000004,102.12,146.52,133.20000000000002,173.16000000000003,186.48000000000002,124.32000000000001,48.84,53.28,22.200000000000003,83.62,2006.88
61,TA4TA5,4.44,0.0,0.0,0.0,4.44,0.0,0.0,8.88,26.64,26.64,22.200000000000003,26.64,39.96,26.64,8.88,8.88,88.80000000000001,22.200000000000003,35.52,13.32,0.0,17.76,8.88,17.76,17.02,408.47999999999996
62,TA55TA76,71.04,79.92,39.96,13.32,13.32,13.32,159.84,466.20000000000005,816.96,634.9200000000001,697.08,359.64000000000004,523.9200000000001,634.9200000000001,550.5600000000001,666.0000000000001,723.72,537.24,586.08,457.32000000000005,372.96000000000004,350.76000000000005,404.04,341.88000000000005,396.4550000000001,9514.920000000002
63,TA5TA6,0.0,8.88,0.0,0.0,4.44,0.0,0.0,13.32,22.200000000000003,13.32,4.44,17.76,75.48,8.88,13.32,26.64,44.400000000000006,22.200000000000003,31.080000000000002,22.200000000000003,13.32,4.44,230.88000000000002,119.88000000000001,29.045,697.08
64,TA6TA8,146.52,39.96,22.200000000000003,13.32,17.76,39.96,62.160000000000004,297.48,430.68000000000006,421.8,324.12,341.88000000000005,461.76000000000005,417.36,537.24,661.5600000000001,661.5600000000001,515.0400000000001,506.16,621.6,217.56000000000003,164.28,563.88,719.2800000000001,341.8800000000001,8205.120000000003
65,TA76TA77,0.0,4.44,0.0,0.0,0.0,0.0,8.88,8.88,48.84,164.28,79.92,35.52,17.76,8.88,8.88,102.12,328.56,62.160000000000004,355.20000000000005,359.64000000000004,559.44,8.88,17.76,8.88,91.20500000000004,2188.920000000001
66,TA77TA78,35.52,8.88,0.0,8.88,4.44,22.200000000000003,17.76,164.28,555.0,448.44000000000005,537.24,763.6800000000001,399.6,395.16,390.72,919.08,927.96,932.4000000000001,945.72,1092.24,950.1600000000001,337.44000000000005,173.16000000000003,137.64000000000001,423.65000000000003,10167.6
67,TA78TA79,0.0,4.44,0.0,0.0,0.0,0.0,0.0,39.96,173.16000000000003,93.24000000000001,48.84,17.76,22.200000000000003,17.76,17.76,119.88000000000001,124.32000000000001,35.52,97.68,4.44,4.44,4.44,13.32,0.0,34.96500000000002,839.1600000000004
68,TA79TA80,17.76,4.44,0.0,4.44,0.0,0.0,0.0,31.080000000000002,106.56,93.24000000000001,39.96,71.04,66.60000000000001,75.48,57.720000000000006,208.68,235.32000000000002,71.04,133.20000000000002,53.28,39.96,22.200000000000003,31.080000000000002,13.32,57.35,1376.4
69,TA81TA83,142.08,97.68,26.64,17.76,31.080000000000002,48.84,142.08,381.84000000000003,674.8800000000001,719.2800000000001,919.08,657.12,981.2400000000001,905.7600000000001,1043.4,1389.72,1078.92,1110.0,990.1200000000001,1016.7600000000001,777.0000000000001,430.68000000000006,337.44000000000005,213.12,588.8550000000001,14132.520000000004
70,TA83TA85,124.32000000000001,22.200000000000003,13.32,4.44,8.88,17.76,62.160000000000004,182.04000000000002,648.24,737.0400000000001,723.72,830.2800000000001,475.08000000000004,626.0400000000001,395.16,785.8800000000001,816.96,572.7600000000001,856.9200000000001,883.5600000000001,519.48,541.6800000000001,417.36,284.16,439.56,10549.44
,avg,88.79999999999998,62.535211267605646,36.958309859154944,31.39267605633805,42.14873239436621,57.46985915492961,111.6253521126761,248.32732394366195,390.03211267605644,361.0157746478874,357.95154929577467,341.94253521126745,333.43774647887324,336.37690140845064,336.6895774647889,403.47718309859164,436.24563380281694,381.40225352112685,380.77690140845084,371.8969014084507,326.4963380281689,229.0664788732395,206.30366197183102,163.84225352112676,251.50880281690138,6036.211267605633
,sum,6304.799999999999,4440.000000000001,2624.040000000001,2228.8800000000015,2992.5600000000013,4080.360000000002,7925.400000000003,17631.239999999998,27692.280000000006,25632.120000000003,25414.56,24277.919999999987,23674.079999999998,23882.759999999995,23904.96000000001,28646.880000000005,30973.440000000002,27079.560000000005,27035.16000000001,26404.679999999997,23181.239999999994,16263.720000000005,14647.560000000003,11632.800000000001,17857.125000000004,428571.00000000006
